buffer_size,sql_file,real_time
64MB,q1.1.sql,real      0m0.715s
64MB,q1.2.sql,real      0m0.607s
64MB,q1.3.sql,real      0m0.606s
64MB,q2.1.sql,real      0m0.626s
64MB,q2.2.sql,real      0m0.558s
64MB,q2.3.sql,real      0m0.489s
64MB,q3.1.sql,real      0m0.573s
64MB,q3.2.sql,real      0m0.485s
64MB,q3.3.sql,real      0m0.426s
64MB,q3.4.sql,real      0m0.419s
64MB,q4.1.sql,real      0m0.647s
64MB,q4.2.sql,real      0m0.787s
64MB,q4.3.sql,real      0m0.614s
256MB,q1.1.sql,real     0m0.701s
256MB,q1.2.sql,real     0m0.614s
256MB,q1.3.sql,real     0m0.611s
256MB,q2.1.sql,real     0m0.656s
256MB,q2.2.sql,real     0m0.573s
256MB,q2.3.sql,real     0m0.498s
256MB,q3.1.sql,real     0m0.578s
256MB,q3.2.sql,real     0m0.458s
256MB,q3.3.sql,real     0m0.393s
256MB,q3.4.sql,real     0m0.442s
256MB,q4.1.sql,real     0m0.700s
256MB,q4.2.sql,real     0m0.801s
256MB,q4.3.sql,real     0m0.626s
2056MB,q1.1.sql,real    0m0.679s
2056MB,q1.2.sql,real    0m0.620s
2056MB,q1.3.sql,real    0m0.611s
2056MB,q2.1.sql,real    0m0.638s
2056MB,q2.2.sql,real    0m0.577s
2056MB,q2.3.sql,real    0m0.508s
2056MB,q3.1.sql,real    0m0.643s
2056MB,q3.2.sql,real    0m0.476s
2056MB,q3.3.sql,real    0m0.391s
2056MB,q3.4.sql,real    0m0.426s
2056MB,q4.1.sql,real    0m0.663s
2056MB,q4.2.sql,real    0m0.793s
2056MB,q4.3.sql,real    0m0.616s
6144MB,q1.1.sql,real    0m1.084s
6144MB,q1.2.sql,real    0m0.679s
6144MB,q1.3.sql,real    0m0.717s
6144MB,q2.1.sql,real    0m0.743s
6144MB,q2.2.sql,real    0m0.667s
6144MB,q2.3.sql,real    0m0.605s
6144MB,q3.1.sql,real    0m0.680s
6144MB,q3.2.sql,real    0m0.537s
6144MB,q3.3.sql,real    0m0.494s
6144MB,q3.4.sql,real    0m0.498s
6144MB,q4.1.sql,real    0m0.720s
6144MB,q4.2.sql,real    0m0.899s
6144MB,q4.3.sql,real    0m0.734s
12288MB,q1.1.sql,real   0m1.023s
12288MB,q1.2.sql,real   0m0.681s
12288MB,q1.3.sql,real   0m0.671s
12288MB,q2.1.sql,real   0m0.747s
12288MB,q2.2.sql,real   0m0.665s
12288MB,q2.3.sql,real   0m0.599s
12288MB,q3.1.sql,real   0m0.694s
12288MB,q3.2.sql,real   0m0.528s
12288MB,q3.3.sql,real   0m0.472s
12288MB,q3.4.sql,real   0m0.509s
12288MB,q4.1.sql,real   0m0.710s
12288MB,q4.2.sql,real   0m0.841s
12288MB,q4.3.sql,real   0m0.715s
19456MB,q1.1.sql,real   0m1.073s
19456MB,q1.2.sql,real   0m0.728s
19456MB,q1.3.sql,real   0m0.709s
19456MB,q2.1.sql,real   0m0.740s
19456MB,q2.2.sql,real   0m0.676s
19456MB,q2.3.sql,real   0m0.590s
19456MB,q3.1.sql,real   0m0.701s
19456MB,q3.2.sql,real   0m0.537s
19456MB,q3.3.sql,real   0m0.476s
19456MB,q3.4.sql,real   0m0.497s
19456MB,q4.1.sql,real   0m0.712s
19456MB,q4.2.sql,real   0m0.861s
19456MB,q4.3.sql,real   0m0.753s
